position.x,position.z,time,score,phase
0.499993,-0.9999875,69.76014,1,1
0.4999931,-0.9999875,69.88042,1,1
0.499993,-0.9999876,70.0021,1,1
0.499993,-0.9999874,70.12154,1,1
0.4999931,-0.9999874,70.23315,1,1
0.4999931,-0.9999876,70.36489,1,1
0.4999929,-0.9999876,70.47591,1,1
0.4999932,-0.9999874,70.6037,1,1
0.4999931,-0.9999876,70.70831,1,1
0.4999929,-0.9999877,70.83807,1,1
0.4999931,-0.9999874,70.94901,1,1
0.499993,-0.9999875,71.06826,1,1
0.4999931,-0.9999877,71.21159,1,1
0.499993,-0.9999875,71.32093,1,1
0.4999932,-0.9999875,71.47694,1,1
0.499993,-0.9999876,71.62234,1,1
0.4999931,-0.9999876,71.74093,1,1
0.4999931,-0.9999877,71.8556,1,1
0.4999929,-0.9999875,71.97047,1,1
0.499993,-0.9999876,72.10566,1,1
0.499993,-0.9999877,72.23125,1,1
0.499993,-0.9999875,72.33261,1,1
0.4999931,-0.9999876,72.44898,1,1
0.4999929,-0.9999877,72.58689,1,1
0.4999931,-0.9999876,72.68991,1,1
0.499993,-0.9999876,72.80135,1,1
0.499993,-0.9999877,72.93459,1,1
0.499993,-0.9999876,73.06631,1,1
0.4999929,-0.9999875,73.17905,1,1
0.4999931,-0.9999877,73.29845,1,1
0.499993,-0.9999877,73.41171,1,1
0.4999929,-0.9999878,73.52664,1,1
0.4999931,-0.9999876,73.64443,1,1
0.4999931,-0.9999877,73.76899,1,1
0.499993,-0.9999877,73.90192,1,1
0.499993,-0.9999877,74.00879,1,1
0.4999929,-0.9999875,74.12498,1,1
0.4999931,-0.9999877,74.25282,1,1
0.499993,-0.9999877,74.37437,1,1
0.4999928,-0.9999875,74.4877,1,1
0.4999931,-0.9999877,74.59987,1,1
0.499993,-0.9999877,74.70857,1,1
0.4999931,-0.9999877,74.81452,1,1
0.499993,-0.9999875,74.95824,1,1
0.4999931,-0.9999877,75.07607,1,1
0.4999929,-0.9999877,75.1889,1,1
0.4999931,-0.9999875,75.29839,1,1
0.499993,-0.9999877,75.42269,1,1
0.499993,-0.9999878,75.52998,1,1
0.499993,-0.9999876,75.65279,1,1
0.4999928,-0.9999877,75.77407,1,1
0.4999931,-0.9999877,75.89221,1,1
0.4999929,-0.9999877,75.99715,1,1
0.4999929,-0.9999877,76.11861,1,1
0.4999931,-0.9999877,76.23839,1,1
0.4999929,-0.9999878,76.37485,1,1
0.4999931,-0.9999878,76.51868,1,1
0.4999931,-0.9999877,76.63376,1,1
0.499993,-0.9999877,76.78507,1,1
