position.x,position.z,time,score
-4.286315,3.155636,85.49668,106
-4.264913,3.133741,85.6433,106
-4.236307,3.135243,85.78186,106
-4.219476,3.123499,85.93624,106
-4.193277,3.089597,86.09127,106
-4.173918,3.008028,86.24184,106
-4.160953,2.997043,86.38491,106
-4.152534,3.009073,86.5228,106
-4.150072,3.057878,86.67127,106
-4.155326,3.191569,86.8271,106
-4.161833,3.334816,86.98558,107
-4.142646,3.411517,87.1277,108
-4.096666,3.509228,87.26891,108
-4.047002,3.589955,87.41955,109
-4.028533,3.642632,87.5707,109
-3.996949,3.737906,87.70955,110
-3.99603,3.78876,87.85053,110
-4.015644,3.844618,88.00555,111
-4.038031,3.834754,88.14725,111
-4.053657,3.815205,88.2902,112
-4.047567,3.788814,88.43468,112
-4.017883,3.760076,88.58608,113
-3.951367,3.740284,88.7305,113
-3.84587,3.735435,88.87524,114
-3.788525,3.748615,89.0217,114
-3.775494,3.756133,89.16262,115
-3.783028,3.760218,89.30967,115
-3.789063,3.758187,89.45415,116
-3.815069,3.753824,89.5868,116
-3.930963,3.726563,89.73025,116
-4.032089,3.696037,89.87735,117
-4.13781,3.620865,90.03183,117
-4.169368,3.551704,90.16432,118
-4.194177,3.452968,90.31432,118
-4.191052,3.358104,90.46349,118
-4.182957,3.275387,90.6132,118
-4.174568,3.129634,90.76299,118
-4.147991,3.051249,90.91235,118
-4.073233,2.993721,91.06223,118
-4.029896,2.975778,91.21039,123
-3.988071,2.964176,91.3581,123
-3.923551,2.934679,91.51246,123
-3.86322,2.898885,91.65147,123
-3.801924,2.888968,91.80066,123
-3.776342,2.914617,91.95225,123
-3.73493,2.981969,92.10764,123
-3.699701,3.061823,92.26002,123
-3.666328,3.114052,92.40916,123
-3.606245,3.195141,92.55864,123
-3.479702,3.312496,92.70141,123
-3.407642,3.38986,92.84963,128
-3.370179,3.460547,92.99724,133
-3.32769,3.535995,93.13909,133
-3.285482,3.613262,93.28882,138
-3.240914,3.668363,93.43362,138
-3.224596,3.693922,93.57706,138
-3.182415,3.70843,93.71855,138
-3.134319,3.710335,93.87103,138
-3.022013,3.694962,94.02175,138
-2.945774,3.684774,94.16336,138
-2.886641,3.659117,94.31013,138
-2.868978,3.644721,94.45367,138
-2.839985,3.586995,94.6094,138
-2.809127,3.533323,94.76268,138
-2.704746,3.408235,94.91632,138
-2.655555,3.365789,95.06687,138
-2.648157,3.358802,95.21847,143
-2.659708,3.361176,95.37872,148
-2.693889,3.34353,95.51975,153
-2.744366,3.337317,95.67224,153
-2.763096,3.357955,95.81837,153
-2.791372,3.423272,95.96107,158
-2.894643,3.56657,96.11304,158
-2.944621,3.640113,96.26941,158
-3.014849,3.704522,96.41534,158
-3.181013,3.803793,96.57238,158
-3.349655,3.849956,96.72531,158
-3.46782,3.879901,96.8616,158
-3.610987,3.92743,97.00756,158
-3.729354,4.00579,97.16124,163
-3.786314,4.01944,97.30525,163
-3.795474,4.034716,97.45374,163
-3.801586,4.065699,97.57896,163
-3.792618,4.141462,97.83189,163
-3.800455,4.156047,97.96014,163
-3.798209,4.141826,98.09209,168
-3.798849,4.111642,98.23192,173
-3.795352,4.07059,98.38004,178
-3.751722,3.998569,98.51949,183
-3.685232,3.959062,98.65295,183
